year,session,utt_id,morph_issue,morph_path,source_pcm_seconds,source_pcm_category,text_duration_status,csv_duration_seconds,hangul_syllables,eojeol_count,hangul_syllables_per_second,eojeol_per_second,exclusion_reason,recommended_action
2021,SDRW2100000468,SDRW2100000468.1.1.297,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000468\SDRW2100000468.1.1.297.TextGrid,0.000,원본짧음,ok,0.009000,19,8,2111.111,888.889,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000549,SDRW2100000549.1.1.122,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000549\SDRW2100000549.1.1.122.TextGrid,0.320,원본정상,ok,0.316000,30,12,94.937,37.975,source_segment_text_duration_impossible,exclude_source_audio_unusable
2021,SDRW2100000550,SDRW2100000550.1.1.196,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000550\SDRW2100000550.1.1.196.TextGrid,0.490,원본정상,ok,0.492000,31,10,63.008,20.325,source_segment_text_duration_impossible,exclude_source_audio_unusable
2021,SDRW2100000584,SDRW2100000584.1.1.192,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000584\SDRW2100000584.1.1.192.TextGrid,0.380,원본정상,ok,0.378000,30,9,79.365,23.810,source_segment_text_duration_impossible,exclude_source_audio_unusable
2021,SDRW2100000699,SDRW2100000699.1.1.43,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000699\SDRW2100000699.1.1.43.TextGrid,0.360,원본정상,ok,0.363000,19,11,52.342,30.303,source_segment_text_duration_impossible,exclude_source_audio_unusable
2021,SDRW2100000736,SDRW2100000736.1.1.308,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000736\SDRW2100000736.1.1.308.TextGrid,0.100,원본짧음,ok,0.100000,9,4,90.000,40.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000800,SDRW2100000800.1.1.94,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000800\SDRW2100000800.1.1.94.TextGrid,0.192,원본짧음,ok,2.908000,13,5,4.470,1.719,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000814,SDRW2100000814.1.1.286,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000814\SDRW2100000814.1.1.286.TextGrid,0.430,원본정상,ok,0.436000,52,19,119.266,43.578,source_segment_text_duration_impossible,exclude_source_audio_unusable
2021,SDRW2100000871,SDRW2100000871.1.1.215,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000871\SDRW2100000871.1.1.215.TextGrid,0.100,원본짧음,ok,0.100000,5,2,50.000,20.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000934,SDRW2100000934.1.1.137,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000934\SDRW2100000934.1.1.137.TextGrid,0.000,원본짧음,nonpositive_duration,,8,3,0.000,0.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100000975,SDRW2100000975.1.1.260,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100000975\SDRW2100000975.1.1.260.TextGrid,0.480,원본정상,ok,0.479000,32,13,66.806,27.140,source_segment_text_duration_impossible,exclude_source_audio_unusable
2021,SDRW2100001211,SDRW2100001211.1.1.276,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001211\SDRW2100001211.1.1.276.TextGrid,0.040,원본짧음,ok,0.038000,19,7,500.000,184.211,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001359,SDRW2100001359.1.1.161,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001359\SDRW2100001359.1.1.161.TextGrid,0.000,원본짧음,nonpositive_duration,,7,4,0.000,0.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001504,SDRW2100001504.1.1.447,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001504\SDRW2100001504.1.1.447.TextGrid,0.020,원본짧음,ok,0.011000,6,2,545.455,181.818,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001505,SDRW2100001505.1.1.435,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001505\SDRW2100001505.1.1.435.TextGrid,0.010,원본짧음,ok,0.008000,13,6,1625.000,750.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001510,SDRW2100001510.1.1.298,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001510\SDRW2100001510.1.1.298.TextGrid,0.040,원본짧음,ok,0.038000,9,5,236.842,131.579,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001511,SDRW2100001511.1.1.171,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001511\SDRW2100001511.1.1.171.TextGrid,0.080,원본짧음,ok,0.081000,12,6,148.148,74.074,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001512,SDRW2100001512.1.1.33,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001512\SDRW2100001512.1.1.33.TextGrid,0.040,원본짧음,ok,0.040000,6,3,150.000,75.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001512,SDRW2100001512.1.1.425,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001512\SDRW2100001512.1.1.425.TextGrid,0.010,원본짧음,ok,0.003000,10,5,3333.333,1666.667,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001512,SDRW2100001512.1.1.488,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001512\SDRW2100001512.1.1.488.TextGrid,0.030,원본짧음,ok,0.030000,13,5,433.333,166.667,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001512,SDRW2100001512.1.1.88,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001512\SDRW2100001512.1.1.88.TextGrid,0.010,원본짧음,ok,0.005000,16,7,3200.000,1400.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001580,SDRW2100001580.1.1.250,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001580\SDRW2100001580.1.1.250.TextGrid,0.360,원본정상,ok,0.359000,24,11,66.852,30.641,source_segment_text_duration_impossible,exclude_source_audio_unusable
2021,SDRW2100001591,SDRW2100001591.1.1.229,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001591\SDRW2100001591.1.1.229.TextGrid,0.020,원본짧음,ok,0.016000,4,1,250.000,62.500,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001591,SDRW2100001591.1.1.235,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001591\SDRW2100001591.1.1.235.TextGrid,0.010,원본짧음,ok,0.005000,14,7,2800.000,1400.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001592,SDRW2100001592.1.1.338,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001592\SDRW2100001592.1.1.338.TextGrid,0.010,원본짧음,ok,0.013000,15,6,1153.846,461.538,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001592,SDRW2100001592.1.1.373,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001592\SDRW2100001592.1.1.373.TextGrid,0.000,원본짧음,ok,0.005000,4,1,800.000,200.000,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001615,SDRW2100001615.1.1.496,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001615\SDRW2100001615.1.1.496.TextGrid,0.020,원본짧음,ok,0.022000,4,3,181.818,136.364,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001643,SDRW2100001643.1.1.502,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001643\SDRW2100001643.1.1.502.TextGrid,0.192,원본짧음,ok,3.550000,18,9,5.070,2.535,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.1,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.1.TextGrid,0.100,원본짧음,ok,4.739000,19,6,4.009,1.266,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.10,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.10.TextGrid,0.100,원본짧음,ok,4.291000,7,4,1.631,0.932,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.100,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.100.TextGrid,0.100,원본짧음,ok,4.994000,27,9,5.406,1.802,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.101,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.101.TextGrid,0.100,원본짧음,ok,2.550000,11,4,4.314,1.569,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.102,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.102.TextGrid,0.100,원본짧음,ok,2.740000,16,7,5.839,2.555,source_pcm_too_short,exclude_source_audio_unusable
2021,SDRW2100001747,SDRW2100001747.1.1.103,morph_source_missing,D:\20_AUDIO\06_textgrid_merged\2021\SDRW2100001747\SDRW2100001747.1.1.103.TextGrid,0.100,원본짧음,ok,4.436000,17,7,3.832,1.578,source_pcm_too_short,exclude_source_audio_unusable
