year,session_id,utt_id,reason,lab_path,lab_bytes,wav_path,wav_exists,analysis_eligible,morph_disposition
2021,SDRW2100003858,SDRW2100003858.1.1.198,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003858\SDRW2100003858.1.1.198.lab,33,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003858\SDRW2100003858.1.1.198.wav,True,True,
2021,SDRW2100003861,SDRW2100003861.1.1.30,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003861\SDRW2100003861.1.1.30.lab,137,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003861\SDRW2100003861.1.1.30.wav,True,True,
2021,SDRW2100003862,SDRW2100003862.1.1.288,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003862\SDRW2100003862.1.1.288.lab,40,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003862\SDRW2100003862.1.1.288.wav,True,True,
2021,SDRW2100003870,SDRW2100003870.1.1.254,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003870\SDRW2100003870.1.1.254.lab,82,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003870\SDRW2100003870.1.1.254.wav,True,True,
2021,SDRW2100003933,SDRW2100003933.1.1.278,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003933\SDRW2100003933.1.1.278.lab,112,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003933\SDRW2100003933.1.1.278.wav,True,True,
2021,SDRW2100003949,SDRW2100003949.1.1.131,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003949\SDRW2100003949.1.1.131.lab,57,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003949\SDRW2100003949.1.1.131.wav,True,True,
2021,SDRW2100003976,SDRW2100003976.1.1.311,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003976\SDRW2100003976.1.1.311.lab,37,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003976\SDRW2100003976.1.1.311.wav,True,True,
2021,SDRW2100003988,SDRW2100003988.1.1.174,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003988\SDRW2100003988.1.1.174.lab,34,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003988\SDRW2100003988.1.1.174.wav,True,False,exclude_source_audio_unusable
2021,SDRW2100003988,SDRW2100003988.1.1.327,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003988\SDRW2100003988.1.1.327.lab,9,D:\20_AUDIO\03_wav\individual\2021\SDRW2100003988\SDRW2100003988.1.1.327.wav,True,False,exclude_source_audio_unusable
2021,SDRW2100004025,SDRW2100004025.1.1.14,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004025\SDRW2100004025.1.1.14.lab,65,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004025\SDRW2100004025.1.1.14.wav,True,True,
2021,SDRW2100004026,SDRW2100004026.1.1.121,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004026\SDRW2100004026.1.1.121.lab,74,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004026\SDRW2100004026.1.1.121.wav,True,True,
2021,SDRW2100004026,SDRW2100004026.1.1.241,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004026\SDRW2100004026.1.1.241.lab,87,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004026\SDRW2100004026.1.1.241.wav,True,True,
2021,SDRW2100004041,SDRW2100004041.1.1.30,no_textgrid_after_mfa,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004041\SDRW2100004041.1.1.30.lab,55,D:\20_AUDIO\03_wav\individual\2021\SDRW2100004041\SDRW2100004041.1.1.30.wav,True,True,
