year,session,target_utt_id,source_utt_id,status,block_length,target_duration_seconds,source_duration_seconds,duration_residual_seconds,source_wav
2021,SDRW2100000800,SDRW2100000800.1.1.222,SDRW2100000800.1.1.222,identity_high_confidence,1,2.92,2.919875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.222.wav
2021,SDRW2100000800,SDRW2100000800.1.1.223,SDRW2100000800.1.1.223,identity_high_confidence,1,1.99,1.99,-0.01,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.223.wav
2021,SDRW2100000800,SDRW2100000800.1.1.224,SDRW2100000800.1.1.224,identity_high_confidence,1,1.96,1.96,-0.01,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.224.wav
2021,SDRW2100000800,SDRW2100000800.1.1.225,SDRW2100000800.1.1.225,identity_high_confidence,1,4.15,4.149875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.225.wav
2021,SDRW2100000800,SDRW2100000800.1.1.226,SDRW2100000800.1.1.226,identity_high_confidence,1,1.0,0.999875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.226.wav
2021,SDRW2100000800,SDRW2100000800.1.1.227,SDRW2100000800.1.1.227,identity_high_confidence,1,1.36,1.359875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.227.wav
2021,SDRW2100000800,SDRW2100000800.1.1.228,SDRW2100000800.1.1.228,identity_high_confidence,1,3.34,3.339875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.228.wav
2021,SDRW2100000800,SDRW2100000800.1.1.229,SDRW2100000800.1.1.229,identity_high_confidence,1,3.55,3.549875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.229.wav
2021,SDRW2100000800,SDRW2100000800.1.1.230,SDRW2100000800.1.1.230,identity_high_confidence,1,1.66,1.659875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.230.wav
2021,SDRW2100000800,SDRW2100000800.1.1.231,SDRW2100000800.1.1.231,identity_high_confidence,1,1.58,1.579875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.231.wav
2021,SDRW2100000800,SDRW2100000800.1.1.232,SDRW2100000800.1.1.232,identity_high_confidence,1,1.48,1.479875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.232.wav
2021,SDRW2100000800,SDRW2100000800.1.1.233,SDRW2100000800.1.1.233,identity_high_confidence,1,1.6,1.599875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.233.wav
2021,SDRW2100000800,SDRW2100000800.1.1.234,SDRW2100000800.1.1.234,identity_high_confidence,1,2.212,2.209875,-0.012125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.234.wav
2021,SDRW2100000800,SDRW2100000800.1.1.235,SDRW2100000800.1.1.235,identity_high_confidence,1,2.577,2.579875,-0.007125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.235.wav
2021,SDRW2100000800,SDRW2100000800.1.1.236,SDRW2100000800.1.1.236,identity_high_confidence,1,3.919,3.919875,-0.009125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.236.wav
2021,SDRW2100000800,SDRW2100000800.1.1.237,SDRW2100000800.1.1.237,identity_high_confidence,1,1.52,1.519875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.237.wav
2021,SDRW2100000800,SDRW2100000800.1.1.238,SDRW2100000800.1.1.238,identity_high_confidence,1,0.74,0.739875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.238.wav
2021,SDRW2100000800,SDRW2100000800.1.1.239,SDRW2100000800.1.1.239,identity_high_confidence,1,2.26,2.259875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.239.wav
2021,SDRW2100000800,SDRW2100000800.1.1.240,SDRW2100000800.1.1.240,identity_high_confidence,1,4.15,4.149875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.240.wav
2021,SDRW2100000800,SDRW2100000800.1.1.241,SDRW2100000800.1.1.241,identity_high_confidence,1,3.34,3.339875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.241.wav
2021,SDRW2100000800,SDRW2100000800.1.1.242,SDRW2100000800.1.1.242,identity_high_confidence,1,2.08,2.079875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.242.wav
2021,SDRW2100000800,SDRW2100000800.1.1.243,SDRW2100000800.1.1.243,identity_high_confidence,1,2.38,2.379875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.243.wav
2021,SDRW2100000800,SDRW2100000800.1.1.244,SDRW2100000800.1.1.244,identity_high_confidence,1,1.63,1.629875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.244.wav
2021,SDRW2100000800,SDRW2100000800.1.1.245,SDRW2100000800.1.1.245,identity_high_confidence,1,3.908,3.909875,-0.008125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.245.wav
2021,SDRW2100000800,SDRW2100000800.1.1.246,SDRW2100000800.1.1.246,identity_high_confidence,1,4.072,4.069875,-0.012125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.246.wav
2021,SDRW2100000800,SDRW2100000800.1.1.247,SDRW2100000800.1.1.247,identity_high_confidence,1,2.771,2.769875,-0.011125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.247.wav
2021,SDRW2100000800,SDRW2100000800.1.1.248,SDRW2100000800.1.1.248,identity_high_confidence,1,2.059,2.059875,-0.009125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.248.wav
2021,SDRW2100000800,SDRW2100000800.1.1.249,SDRW2100000800.1.1.249,identity_high_confidence,1,1.18,1.18,-0.01,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.249.wav
2021,SDRW2100000800,SDRW2100000800.1.1.250,SDRW2100000800.1.1.250,identity_high_confidence,1,3.67,3.67,-0.01,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.250.wav
2021,SDRW2100000800,SDRW2100000800.1.1.251,SDRW2100000800.1.1.251,identity_high_confidence,1,1.96,1.959875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.251.wav
2021,SDRW2100000800,SDRW2100000800.1.1.252,SDRW2100000800.1.1.252,identity_high_confidence,1,2.62,2.619875,-0.010125,D:\20_AUDIO\03_wav\individual\2021\SDRW2100000800\SDRW2100000800.1.1.252.wav
